,cand_name,cid,cycle,last_updated,industry_code0,industry_name0,indivs0,pacs0,total0,industry_code1,industry_name1,indivs1,pacs1,total1,industry_code2,industry_name2,indivs2,pacs2,total2,industry_code3,industry_name3,indivs3,pacs3,total3,industry_code4,industry_name4,indivs4,pacs4,total4,industry_code5,industry_name5,indivs5,pacs5,total5,industry_code6,industry_name6,indivs6,pacs6,total6,industry_code7,industry_name7,indivs7,pacs7,total7,industry_code8,industry_name8,indivs8,pacs8,total8,industry_code9,industry_name9,indivs9,pacs9,total9
123,Rodney Davis,N00034784,2020,03/22/2021,Q03,Leadership PACs,0,391000,391000,W06,Retired,312811,0,312811,F09,Insurance,33125,132500,165625,A07,Agricultural Services/Products,24788,135500,160288,H01,Health Professionals,52923,104500,157423,F07,Securities & Investment,80374,68500,148874,Q16,Candidate Committees,9700,118900,128600,A01,Crop Production & Basic Processing,46109,69500,115609,F10,Real Estate,72640,42500,115140,M01,Air Transport,7457,98500,105957
124,Susan Davis,N00009604,2020,03/22/2021,P04,Public Sector Unions,0,13000,13000,D01,Defense Aerospace,0,11500,11500,D02,Defense Electronics,0,9500,9500,D03,Misc Defense,0,7500,7500,K01,Lawyers/Law Firms,1010,6000,7010,P01,Building Trade Unions,0,7000,7000,H01,Health Professionals,0,4000,4000,W06,Retired,3005,0,3005,M01,Air Transport,0,3000,3000,Q02,Democratic/Liberal,500,2500,3000
125,Madeleine Dean,N00042894,2020,03/22/2021,Q02,Democratic/Liberal,73811,21251,95062,K01,Lawyers/Law Firms,58013,32884,90897,F09,Insurance,12229,77500,89729,F07,Securities & Investment,35573,52500,88073,W06,Retired,72872,0,72872,F10,Real Estate,32891,38500,71391,H04,Pharmaceuticals/Health Products,14034,40300,54334,P01,Building Trade Unions,142,50000,50142,P02,Industrial Unions,2,48500,48502,F03,Commercial Banks,4380,38500,42880
126,Peter DeFazio,N00007781,2020,03/22/2021,W06,Retired,317189,0,317189,Q03,Leadership PACs,4506,297501,302007,M01,Air Transport,66838,207000,273838,Q02,Democratic/Liberal,242734,7500,250234,K01,Lawyers/Law Firms,146702,73750,220452,P03,Transportation Unions,844,171500,172344,K02,Lobbyists,143225,8500,151725,C04,Construction Services,42286,102999,145285,Q09,Human Rights,123317,19512,142829,F10,Real Estate,86245,42000,128245
127,Diana DeGette,N00006134,2020,03/22/2021,K01,Lawyers/Law Firms,92964,39250,132214,H01,Health Professionals,14999,107000,121999,H04,Pharmaceuticals/Health Products,9780,91650,101430,W06,Retired,65133,0,65133,F10,Real Estate,51835,8000,59835,F07,Securities & Investment,52773,6000,58773,B09,Telecom Services,11637,41300,52937,P04,Public Sector Unions,10,35000,35010,W04,Education,33599,0,33599,H03,Health Services/HMOs,4892,28500,33392
128,Rosa L DeLauro,N00000615,2020,03/22/2021,H01,Health Professionals,26526,100000,126526,K01,Lawyers/Law Firms,57229,46500,103729,W06,Retired,98039,0,98039,K02,Lobbyists,76060,3550,79610,W04,Education,74238,0,74238,P04,Public Sector Unions,15,66500,66515,W02,Non-Profit Institutions,36580,21500,58080,P01,Building Trade Unions,100,57500,57600,P03,Transportation Unions,5000,48000,53000,Q09,Human Rights,33785,18512,52297
129,Suzan DelBene,N00030693,2020,03/22/2021,F09,Insurance,3641,152750,156391,Q02,Democratic/Liberal,138546,13500,152046,H01,Health Professionals,21104,106500,127604,F07,Securities & Investment,42768,76000,118768,B12,Electronics Mfg & Equip,69392,44500,113892,W06,Retired,112966,0,112966,H04,Pharmaceuticals/Health Products,2105,94150,96255,F10,Real Estate,30369,44500,74869,K01,Lawyers/Law Firms,32893,27750,60643,B13,Internet,31273,18000,49273
130,Antonio Delgado,N00040741,2020,03/22/2021,F07,Securities & Investment,632553,2000,634553,W06,Retired,546297,0,546297,K01,Lawyers/Law Firms,512338,11000,523338,Q02,Democratic/Liberal,403880,46213,450093,W04,Education,279233,0,279233,F10,Real Estate,229760,7000,236760,B02,TV/Movies/Music,203091,1000,204091,Q03,Leadership PACs,23200,171100,194300,N05,Business Services,157965,0,157965,W02,Non-Profit Institutions,136360,0,136360
131,Val Demings,N00033449,2020,03/22/2021,W06,Retired,112337,0,112337,F10,Real Estate,45744,35500,81244,K01,Lawyers/Law Firms,64808,16250,81058,F07,Securities & Investment,58295,10500,68795,H01,Health Professionals,19600,25000,44600,F09,Insurance,13733,29000,42733,N05,Business Services,37984,500,38484,P04,Public Sector Unions,150,35000,35150,P02,Industrial Unions,0,33500,33500,B09,Telecom Services,5065,26000,31065
132,Mark Desaulnier,N00030709,2020,03/22/2021,P04,Public Sector Unions,0,46000,46000,P03,Transportation Unions,0,44500,44500,K01,Lawyers/Law Firms,23975,9500,33475,W06,Retired,30879,0,30879,M01,Air Transport,350,28500,28850,P01,Building Trade Unions,150,27500,27650,F10,Real Estate,15663,9000,24663,P02,Industrial Unions,0,23500,23500,H01,Health Professionals,2290,20750,23040,M04,Railroads,0,17000,17000
133,Scott Desjarlais,N00030957,2020,03/22/2021,Q01,Republican/Conservative,27448,10000,37448,W06,Retired,30285,0,30285,N15,Misc Manufacturing & Distributing,27600,0,27600,Q03,Leadership PACs,0,27000,27000,M02,Automotive,2250,15000,17250,E07,Misc Energy,15800,1000,16800,A09,Food Processing & Sales,8100,4000,12100,F07,Securities & Investment,11600,0,11600,Q16,Candidate Committees,0,11000,11000,N02,"Beer, Wine & Liquor",0,10000,10000
134,Ted Deutch,N00031317,2020,03/22/2021,F07,Securities & Investment,152517,0,152517,Q05,Pro-Israel,114950,17715,132665,K01,Lawyers/Law Firms,102137,20750,122887,W06,Retired,120069,0,120069,F10,Real Estate,89806,15000,104806,F13,Misc Finance,43593,4000,47593,B02,TV/Movies/Music,8280,27000,35280,H01,Health Professionals,24203,7000,31203,Q02,Democratic/Liberal,28835,500,29335,M02,Automotive,23500,4000,27500
135,Mario Diaz-Balart,N00025337,2020,03/22/2021,M01,Air Transport,2750,87000,89750,F10,Real Estate,41050,31000,72050,D03,Misc Defense,10000,53500,63500,P03,Transportation Unions,0,60300,60300,Q05,Pro-Israel,46160,11500,57660,N02,"Beer, Wine & Liquor",22400,30850,53250,K01,Lawyers/Law Firms,11150,41600,52750,D02,Defense Electronics,0,49500,49500,K02,Lobbyists,46501,0,46501,E01,Oil & Gas,27100,17000,44100
136,Debbie Dingell,N00036149,2020,03/22/2021,H01,Health Professionals,14255,88500,102755,E08,Electric Utilities,10850,68000,78850,M02,Automotive,19109,51500,70609,W06,Retired,69231,0,69231,H03,Health Services/HMOs,4015,52000,56015,P01,Building Trade Unions,0,55500,55500,K01,Lawyers/Law Firms,18572,35125,53697,W04,Education,47413,0,47413,K02,Lobbyists,44755,2500,47255,H04,Pharmaceuticals/Health Products,3128,42300,45428
137,Lloyd Doggett,N00006023,2020,03/22/2021,H01,Health Professionals,13050,131000,144050,K01,Lawyers/Law Firms,97273,28000,125273,Q02,Democratic/Liberal,77080,259,77339,W06,Retired,70118,0,70118,F10,Real Estate,31450,27500,58950,P01,Building Trade Unions,0,42500,42500,P02,Industrial Unions,0,41000,41000,P04,Public Sector Unions,0,40000,40000,F07,Securities & Investment,33300,2500,35800,H02,Hospitals/Nursing Homes,7450,27500,34950
138,Mike Doyle,N00001373,2020,03/22/2021,B09,Telecom Services,18000,79800,97800,E08,Electric Utilities,0,86500,86500,K01,Lawyers/Law Firms,38800,19500,58300,P01,Building Trade Unions,0,53500,53500,P02,Industrial Unions,0,52000,52000,P04,Public Sector Unions,0,48500,48500,F10,Real Estate,26320,17000,43320,K02,Lobbyists,38800,1000,39800,B08,Telephone Utilities,4750,32500,37250,B02,TV/Movies/Music,4250,27000,31250
139,Tammy Duckworth,N00027860,2020,03/22/2021,W06,Retired,2325321,0,2325321,K01,Lawyers/Law Firms,1371094,44700,1415794,Q08,Women's Issues,1064079,34880,1098959,W04,Education,605497,7500,612997,F07,Securities & Investment,539435,34000,573435,Q02,Democratic/Liberal,523060,23031,546091,Q03,Leadership PACs,0,431000,431000,F10,Real Estate,389031,12800,401831,H01,Health Professionals,283458,95000,378458,N05,Business Services,317852,3000,320852
140,Sean P Duffy,N00030967,2020,03/22/2021,W06,Retired,88040,0,88040,F09,Insurance,2771,71000,73771,F10,Real Estate,35388,19250,54638,F07,Securities & Investment,19105,22000,41105,Q01,Republican/Conservative,30699,6500,37199,F03,Commercial Banks,6650,29500,36150,F06,Finance/Credit Companies,6000,28000,34000,K01,Lawyers/Law Firms,17935,11643,29578,N15,Misc Manufacturing & Distributing,20650,2500,23150,K02,Lobbyists,16624,0,16624
141,Jeff Duncan,N00030752,2020,03/22/2021,Q01,Republican/Conservative,87686,17500,105186,E01,Oil & Gas,6603,60500,67103,W06,Retired,63296,0,63296,E08,Electric Utilities,2600,55000,57600,Q03,Leadership PACs,0,46366,46366,B09,Telecom Services,0,42500,42500,F10,Real Estate,30303,7000,37303,K02,Lobbyists,35664,1000,36664,H01,Health Professionals,2387,33500,35887,H04,Pharmaceuticals/Health Products,6156,26000,32156
142,Neal Dunn,N00037442,2020,03/22/2021,H01,Health Professionals,72472,72300,144772,A01,Crop Production & Basic Processing,9,37000,37009,Q03,Leadership PACs,0,30500,30500,F10,Real Estate,14305,10000,24305,H03,Health Services/HMOs,6,21000,21006,H04,Pharmaceuticals/Health Products,1004,17500,18504,W06,Retired,17745,0,17745,E08,Electric Utilities,0,17500,17500,A10,Forestry & Forest Products,5600,11500,17100,M04,Railroads,16800,0,16800
143,Dick Durbin,N00004981,2020,03/22/2021,K01,Lawyers/Law Firms,1366599,86750,1453349,W06,Retired,922462,0,922462,H01,Health Professionals,221519,160500,382019,F07,Securities & Investment,314650,49740,364390,F10,Real Estate,304860,43000,347860,W04,Education,242277,5600,247877,Q03,Leadership PACs,17805,196700,214505,Q10,Misc Issues,172928,18500,191428,N05,Business Services,174775,12000,186775,K02,Lobbyists,179903,3000,182903
144,Tom Emmer,N00035440,2020,03/22/2021,W06,Retired,251423,0,251423,F09,Insurance,26285,197000,223285,F07,Securities & Investment,23034,124500,147534,F03,Commercial Banks,12164,103000,115164,Q10,Misc Issues,97200,1500,98700,F10,Real Estate,29742,68500,98242,A01,Crop Production & Basic Processing,20820,46500,67320,H01,Health Professionals,7388,52000,59388,H04,Pharmaceuticals/Health Products,20258,39000,59258,N03,Retail Sales,5406,53500,58906
145,Eliot Engel,N00001003,2020,03/22/2021,Q05,Pro-Israel,476683,69250,545933,F10,Real Estate,128507,5000,133507,K01,Lawyers/Law Firms,98239,27500,125739,F07,Securities & Investment,110200,0,110200,H01,Health Professionals,77353,27000,104353,W06,Retired,97255,0,97255,Q09,Human Rights,32078,21000,53078,Q03,Leadership PACs,0,36500,36500,H02,Hospitals/Nursing Homes,27510,7000,34510,W04,Education,34152,0,34152
146,Mike Enzi,N00006249,2020,03/22/2021,Q03,Leadership PACs,0,75600,75600,H04,Pharmaceuticals/Health Products,0,52000,52000,F09,Insurance,12950,22500,35450,E01,Oil & Gas,12800,18000,30800,H01,Health Professionals,250,30500,30750,K02,Lobbyists,13550,0,13550,E04,Mining,0,13000,13000,N13,Chemical & Related Manufacturing,0,10500,10500,F07,Securities & Investment,500,9000,9500,E08,Electric Utilities,0,9000,9000
147,Joni Ernst,N00035483,2020,03/22/2021,W06,Retired,7550927,0,7550927,Q01,Republican/Conservative,2436041,81830,2517871,F07,Securities & Investment,1257547,59562,1317109,F10,Real Estate,1070719,50500,1121219,Q03,Leadership PACs,8500,579899,588399,K01,Lawyers/Law Firms,511253,69250,580503,H01,Health Professionals,471359,64500,535859,F09,Insurance,311475,209100,520575,F13,Misc Finance,456721,13500,470221,A01,Crop Production & Basic Processing,341962,48750,390712
148,Veronica Escobar,N00041702,2020,03/22/2021,F10,Real Estate,46013,14000,60013,Q02,Democratic/Liberal,29999,27750,57749,K01,Lawyers/Law Firms,41479,15750,57229,W04,Education,49851,1500,51351,P04,Public Sector Unions,0,49500,49500,P01,Building Trade Unions,0,38500,38500,F07,Securities & Investment,33360,2500,35860,P03,Transportation Unions,10,28000,28010,B09,Telecom Services,0,27000,27000,D01,Defense Aerospace,825,24500,25325
149,Anna Eshoo,N00007335,2020,03/22/2021,H04,Pharmaceuticals/Health Products,41400,206950,248350,H01,Health Professionals,30350,205000,235350,H03,Health Services/HMOs,117750,59000,176750,K01,Lawyers/Law Firms,88645,47750,136395,B12,Electronics Mfg & Equip,79080,55280,134360,W06,Retired,102821,0,102821,B09,Telecom Services,29000,60000,89000,F07,Securities & Investment,76665,2500,79165,F10,Real Estate,53850,18500,72350,B13,Internet,23626,30500,54126
150,Adriano Espaillat,N00034549,2020,03/22/2021,W04,Education,51800,0,51800,K01,Lawyers/Law Firms,37610,6750,44360,H02,Hospitals/Nursing Homes,33875,8000,41875,P03,Transportation Unions,0,40500,40500,A09,Food Processing & Sales,39050,0,39050,Q03,Leadership PACs,0,38500,38500,H01,Health Professionals,32275,5500,37775,F10,Real Estate,30510,6000,36510,F07,Securities & Investment,30400,6000,36400,P04,Public Sector Unions,0,32000,32000
151,Ron Estes,N00040712,2020,03/22/2021,H01,Health Professionals,35519,96500,132019,F09,Insurance,11050,97500,108550,E01,Oil & Gas,55674,46250,101924,F07,Securities & Investment,23600,74300,97900,M01,Air Transport,15411,66500,81911,F10,Real Estate,46503,30500,77003,W06,Retired,64671,0,64671,Q03,Leadership PACs,0,57800,57800,K02,Lobbyists,55850,250,56100,F13,Misc Finance,29185,18000,47185
152,Dwight Evans,N00038450,2020,03/22/2021,F09,Insurance,7352,89000,96352,K01,Lawyers/Law Firms,38574,31375,69949,F10,Real Estate,9467,37000,46467,H01,Health Professionals,3755,35000,38755,P05,Misc Unions,10020,28500,38520,P01,Building Trade Unions,0,38000,38000,F07,Securities & Investment,1903,32500,34403,H02,Hospitals/Nursing Homes,6218,21500,27718,P04,Public Sector Unions,0,26500,26500,P02,Industrial Unions,3,26000,26003
153,Dianne Feinstein,N00007364,2020,03/22/2021,K01,Lawyers/Law Firms,567565,81950,649515,W06,Retired,583870,0,583870,F10,Real Estate,411129,30400,441529,F07,Securities & Investment,388546,19000,407546,K02,Lobbyists,330941,7555,338496,B02,TV/Movies/Music,269815,58750,328565,Q08,Women's Issues,259555,30199,289754,A01,Crop Production & Basic Processing,183170,46250,229420,N05,Business Services,188432,0,188432,E08,Electric Utilities,124657,61900,186557
154,Drew Ferguson,N00039090,2020,03/22/2021,H01,Health Professionals,55974,137500,193474,W06,Retired,183907,0,183907,F09,Insurance,20290,123500,143790,H04,Pharmaceuticals/Health Products,2855,103000,105855,K01,Lawyers/Law Firms,59935,37246,97181,F07,Securities & Investment,40630,48000,88630,F10,Real Estate,36465,43500,79965,K02,Lobbyists,76350,0,76350,N01,Food & Beverage,37326,31000,68326,A01,Crop Production & Basic Processing,3615,59500,63115
155,Abby Finkenauer,N00040888,2020,03/22/2021,W06,Retired,469666,0,469666,F07,Securities & Investment,405018,12500,417518,Q02,Democratic/Liberal,304027,53250,357277,Q03,Leadership PACs,21634,276403,298037,K01,Lawyers/Law Firms,268660,15250,283910,W04,Education,232785,0,232785,Q08,Women's Issues,185352,35250,220602,B02,TV/Movies/Music,174424,2800,177224,F10,Real Estate,153280,17500,170780,N05,Business Services,132760,1500,134260
156,Deb Fischer,N00033443,2020,03/22/2021,Q03,Leadership PACs,0,493400,493400,W06,Retired,275431,0,275431,K02,Lobbyists,228416,5648,234064,F09,Insurance,67847,161750,229597,K01,Lawyers/Law Firms,107610,114475,222085,F07,Securities & Investment,197968,23000,220968,B09,Telecom Services,79410,117050,196460,A07,Agricultural Services/Products,55933,139250,195183,M04,Railroads,127531,52499,180030,F10,Real Estate,117556,43500,161056
157,Brian Fitzpatrick,N00038779,2020,03/22/2021,W06,Retired,343955,0,343955,Q03,Leadership PACs,17900,308300,326200,F07,Securities & Investment,232031,22500,254531,F10,Real Estate,178735,34000,212735,H01,Health Professionals,39403,140500,179903,K01,Lawyers/Law Firms,107039,39250,146289,F09,Insurance,52781,83500,136281,P03,Transportation Unions,1,135250,135251,Q05,Pro-Israel,94251,33791,128042,Q16,Candidate Committees,16820,100750,117570
158,Chuck Fleischmann,N00030815,2020,03/22/2021,C01,General Contractors,42850,5500,48350,E08,Electric Utilities,19900,28000,47900,K01,Lawyers/Law Firms,28675,18000,46675,H01,Health Professionals,26850,18000,44850,F09,Insurance,12425,26750,39175,A09,Food Processing & Sales,30325,6000,36325,N12,Misc Business,17925,16000,33925,C04,Construction Services,5859,28000,33859,M01,Air Transport,5600,28000,33600,F10,Real Estate,20900,8000,28900
159,Lizzie Fletcher,N00041194,2020,03/22/2021,K01,Lawyers/Law Firms,602897,27250,630147,W06,Retired,601505,0,601505,Q02,Democratic/Liberal,398200,53443,451643,F07,Securities & Investment,338780,13000,351780,E01,Oil & Gas,124637,158699,283336,Q03,Leadership PACs,33902,235103,269005,F10,Real Estate,224839,14000,238839,W04,Education,221918,0,221918,H01,Health Professionals,176348,26500,202848,Q08,Women's Issues,162922,30500,193422
160,Bill Flores,N00031545,2020,03/22/2021,E01,Oil & Gas,11100,43000,54100,W06,Retired,20963,0,20963,B09,Telecom Services,0,20000,20000,H01,Health Professionals,2699,16500,19199,H04,Pharmaceuticals/Health Products,0,18862,18862,F03,Commercial Banks,5000,9500,14500,F09,Insurance,5400,9000,14400,F11,Accountants,1700,10000,11700,K01,Lawyers/Law Firms,7000,3500,10500,N03,Retail Sales,4200,6000,10200
161,Jeff Fortenberry,N00026631,2020,03/22/2021,W06,Retired,77141,0,77141,F09,Insurance,22730,54000,76730,A01,Crop Production & Basic Processing,7735,60500,68235,Q03,Leadership PACs,0,61650,61650,H01,Health Professionals,38718,20000,58718,F10,Real Estate,31999,14000,45999,A07,Agricultural Services/Products,6170,35500,41670,F03,Commercial Banks,11635,27500,39135,F07,Securities & Investment,33615,4000,37615,E08,Electric Utilities,16675,19500,36175
162,Bill Foster,N00029139,2020,03/22/2021,W04,Education,393519,1000,394519,F07,Securities & Investment,32970,184500,217470,W06,Retired,139791,0,139791,F09,Insurance,3580,131000,134580,F03,Commercial Banks,3295,124500,127795,Q02,Democratic/Liberal,76474,16000,92474,F10,Real Estate,38730,52500,91230,K01,Lawyers/Law Firms,62825,15000,77825,F11,Accountants,1521,56500,58021,W03,Civil Servants/Public Officials,55945,0,55945
163,Virginia Foxx,N00026166,2020,03/22/2021,W06,Retired,166586,0,166586,W04,Education,148370,15000,163370,F07,Securities & Investment,42281,53500,95781,F09,Insurance,3240,78000,81240,F10,Real Estate,47786,6000,53786,K01,Lawyers/Law Firms,15433,34128,49561,H01,Health Professionals,13362,33500,46862,C04,Construction Services,26384,15000,41384,M02,Automotive,23251,17000,40251,H02,Hospitals/Nursing Homes,22085,18000,40085
164,Lois J Frankel,N00002893,2020,03/22/2021,W06,Retired,169882,0,169882,F10,Real Estate,115945,10000,125945,K01,Lawyers/Law Firms,70654,21000,91654,Q02,Democratic/Liberal,70053,5000,75053,F07,Securities & Investment,60012,3500,63512,P04,Public Sector Unions,5,57000,57005,Q03,Leadership PACs,1001,54601,55602,A01,Crop Production & Basic Processing,23400,27000,50400,Q05,Pro-Israel,29250,14015,43265,N02,"Beer, Wine & Liquor",27220,14807,42027
165,Marcia L Fudge,N00030490,2020,03/22/2021,P04,Public Sector Unions,0,54000,54000,P01,Building Trade Unions,0,44500,44500,P02,Industrial Unions,0,40000,40000,F09,Insurance,768,34000,34768,A07,Agricultural Services/Products,3,32000,32003,P03,Transportation Unions,100,28500,28600,A01,Crop Production & Basic Processing,0,28500,28500,F10,Real Estate,12228,15500,27728,K01,Lawyers/Law Firms,14362,10250,24612,Q03,Leadership PACs,0,24500,24500
166,Russ Fulcher,N00041335,2020,03/22/2021,Q03,Leadership PACs,0,51300,51300,E08,Electric Utilities,500,32500,33000,A01,Crop Production & Basic Processing,1300,26500,27800,A10,Forestry & Forest Products,6000,21000,27000,A06,Livestock,22600,1000,23600,Q01,Republican/Conservative,12650,10000,22650,F03,Commercial Banks,0,21250,21250,F10,Real Estate,14050,7000,21050,B12,Electronics Mfg & Equip,3550,16000,19550,B09,Telecom Services,250,17500,17750
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Matt Gaetz,N00039503,2020,03/22/2021,Q01,Republican/Conservative,879850,5000,884850,W06,Retired,441302,0,441302,F10,Real Estate,76536,1000,77536,F07,Securities & Investment,48800,0,48800,H01,Health Professionals,44275,0,44275,C01,General Contractors,24557,0,24557,A01,Crop Production & Basic Processing,11901,10000,21901,K01,Lawyers/Law Firms,21739,0,21739,N15,Misc Manufacturing & Distributing,20988,0,20988,F13,Misc Finance,17605,0,17605
169,Mike Gallagher,N00039330,2020,03/22/2021,F07,Securities & Investment,388788,7000,395788,W06,Retired,375243,0,375243,F10,Real Estate,108622,10500,119122,Q01,Republican/Conservative,72758,28000,100758,F09,Insurance,27209,69500,96709,Q03,Leadership PACs,0,90800,90800,H01,Health Professionals,64521,16000,80521,K01,Lawyers/Law Firms,60684,16250,76934,N15,Misc Manufacturing & Distributing,59278,17000,76278,E01,Oil & Gas,28568,36500,65068
170,Ruben Gallego,N00036097,2020,03/22/2021,N07,Casinos/Gambling,157155,1000,158155,W06,Retired,153943,0,153943,K01,Lawyers/Law Firms,79747,33000,112747,F10,Real Estate,38550,19500,58050,H01,Health Professionals,21772,31000,52772,K02,Lobbyists,47145,1500,48645,P04,Public Sector Unions,434,46500,46934,P03,Transportation Unions,0,37000,37000,W04,Education,36953,0,36953,Q02,Democratic/Liberal,26705,9500,36205
171,John Garamendi,N00030856,2020,03/22/2021,P03,Transportation Unions,0,100500,100500,F10,Real Estate,46520,14500,61020,P01,Building Trade Unions,0,48200,48200,P04,Public Sector Unions,0,46000,46000,M05,Sea Transport,0,44500,44500,K01,Lawyers/Law Firms,26500,16000,42500,C01,General Contractors,37000,5300,42300,A01,Crop Production & Basic Processing,17000,19500,36500,M01,Air Transport,0,31000,31000,F09,Insurance,17300,13500,30800
172,Jesus Garcia,N00042114,2020,03/22/2021,K01,Lawyers/Law Firms,78560,12500,91060,P03,Transportation Unions,2320,65500,67820,P02,Industrial Unions,300,38500,38800,F10,Real Estate,22708,13500,36208,P04,Public Sector Unions,27,35000,35027,P01,Building Trade Unions,0,32500,32500,Q02,Democratic/Liberal,21658,5625,27283,M04,Railroads,0,25500,25500,P05,Misc Unions,5020,16000,21020,W06,Retired,20814,0,20814
173,Mike Garcia,N00044298,2020,03/22/2021,W06,Retired,1465403,0,1465403,Q01,Republican/Conservative,1030462,92970,1123432,F10,Real Estate,350984,5000,355984,Q03,Leadership PACs,0,326350,326350,F07,Securities & Investment,174900,5000,179900,K01,Lawyers/Law Firms,128416,1500,129916,Q16,Candidate Committees,0,118134,118134,N15,Misc Manufacturing & Distributing,92732,0,92732,H01,Health Professionals,90696,0,90696,M02,Automotive,72453,17500,89953
174,Sylvia Garcia,N00042282,2020,03/22/2021,K01,Lawyers/Law Firms,49101,15000,64101,E01,Oil & Gas,840,62500,63340,F03,Commercial Banks,2020,52000,54020,P03,Transportation Unions,0,42000,42000,P01,Building Trade Unions,0,36000,36000,F07,Securities & Investment,13400,21500,34900,F10,Real Estate,6740,27500,34240,P04,Public Sector Unions,0,34000,34000,F09,Insurance,4750,28000,32750,P02,Industrial Unions,0,29000,29000
175,Cory Gardner,N00030780,2020,03/22/2021,W06,Retired,6658920,0,6658920,F10,Real Estate,1318188,90999,1409187,F07,Securities & Investment,1223665,106500,1330165,Q01,Republican/Conservative,863362,83197,946559,E01,Oil & Gas,433616,335388,769004,K01,Lawyers/Law Firms,529388,128038,657426,Q03,Leadership PACs,8967,587600,596567,F09,Insurance,240256,254550,494806,K02,Lobbyists,479617,9866,489483,F13,Misc Finance,434936,47000,481936
176,Greg Gianforte,N00040733,2020,03/22/2021,N12,Misc Business,31133,0,31133,W06,Retired,29253,0,29253,A01,Crop Production & Basic Processing,1500,22500,24000,Q16,Candidate Committees,0,18140,18140,E01,Oil & Gas,4051,11000,15051,B09,Telecom Services,250,14000,14250,N03,Retail Sales,6600,6000,12600,E04,Mining,11200,0,11200,W02,Non-Profit Institutions,9990,0,9990,F10,Real Estate,8929,1000,9929
177,Bob Gibbs,N00031128,2020,03/22/2021,P03,Transportation Unions,0,51000,51000,A07,Agricultural Services/Products,5800,33300,39100,A01,Crop Production & Basic Processing,5950,29500,35450,M01,Air Transport,14,32528,32542,E08,Electric Utilities,6,29500,29506,M04,Railroads,0,29000,29000,M05,Sea Transport,5000,23800,28800,E01,Oil & Gas,7058,21500,28558,Q03,Leadership PACs,0,28000,28000,N15,Misc Manufacturing & Distributing,19419,8500,27919
178,Kirsten Gillibrand,N00027658,2020,03/22/2021,K01,Lawyers/Law Firms,2387311,43608,2430919,W06,Retired,1381699,0,1381699,F07,Securities & Investment,1047942,46000,1093942,F10,Real Estate,660708,17000,677708,B02,TV/Movies/Music,576203,17500,593703,W04,Education,548264,2500,550764,N05,Business Services,447693,13000,460693,B01,Printing & Publishing,448415,3000,451415,F13,Misc Finance,351978,1000,352978,H01,Health Professionals,330584,16500,347084
179,Louis B Gohmert Jr.,N00026148,2020,03/22/2021,W06,Retired,93507,0,93507,Q01,Republican/Conservative,21670,11000,32670,Q03,Leadership PACs,0,25766,25766,F10,Real Estate,19430,6000,25430,H01,Health Professionals,21629,0,21629,F09,Insurance,16713,2000,18713,F03,Commercial Banks,9518,7000,16518,E01,Oil & Gas,12428,1000,13428,F13,Misc Finance,12553,0,12553,C04,Construction Services,12345,0,12345
180,Jared Golden,N00041668,2020,03/22/2021,W06,Retired,595951,0,595951,Q02,Democratic/Liberal,503693,40531,544224,F07,Securities & Investment,333093,0,333093,Q03,Leadership PACs,34983,196251,231234,W04,Education,226278,0,226278,K01,Lawyers/Law Firms,187528,13278,200806,B13,Internet,167387,0,167387,B12,Electronics Mfg & Equip,163039,0,163039,N05,Business Services,124418,0,124418,H01,Health Professionals,111151,4000,115151
181,Jimmy Gomez,N00040597,2020,03/22/2021,F09,Insurance,13000,116500,129500,H01,Health Professionals,9023,65500,74523,F07,Securities & Investment,29925,38000,67925,P04,Public Sector Unions,2600,61500,64100,F10,Real Estate,21480,35000,56480,K01,Lawyers/Law Firms,38754,15500,54254,F11,Accountants,5607,41000,46607,H04,Pharmaceuticals/Health Products,6880,39000,45880,Q03,Leadership PACs,583,41200,41783,P03,Transportation Unions,0,39500,39500
182,Anthony Gonzalez,N00041690,2020,03/22/2021,F07,Securities & Investment,167636,134000,301636,F09,Insurance,25677,186200,211877,F10,Real Estate,87375,80000,167375,F03,Commercial Banks,1500,139000,140500,W06,Retired,79383,0,79383,F11,Accountants,22785,55000,77785,Q03,Leadership PACs,0,73300,73300,K02,Lobbyists,51750,6350,58100,F06,Finance/Credit Companies,500,56000,56500,K01,Lawyers/Law Firms,41032,5250,46282
183,Jenniffer Gonzalez,N00037615,2020,03/22/2021,K01,Lawyers/Law Firms,73963,15250,89213,N12,Misc Business,73255,0,73255,W06,Retired,67455,0,67455,H01,Health Professionals,41037,0,41037,Q03,Leadership PACs,10000,28250,38250,F09,Insurance,26422,5000,31422,H04,Pharmaceuticals/Health Products,2955,19000,21955,N01,Food & Beverage,20734,0,20734,Q01,Republican/Conservative,6595,14000,20595,K02,Lobbyists,19377,500,19877
184,Vicente Gonzalez,N00038809,2020,03/22/2021,E01,Oil & Gas,1000,148500,149500,F07,Securities & Investment,37141,59000,96141,F09,Insurance,7360,54500,61860,F10,Real Estate,21231,39500,60731,F03,Commercial Banks,1806,55000,56806,F06,Finance/Credit Companies,10100,45000,55100,F11,Accountants,255,50500,50755,P01,Building Trade Unions,0,44000,44000,H01,Health Professionals,20152,23500,43652,P04,Public Sector Unions,0,39500,39500
